2024-02-18 07:45:26,338 DEBUG   HandlerThread:1283580 [system_monitor.py:probe():223] {'os': 'Linux-6.5.0-15-generic-x86_64-with-glibc2.31', 'python': '3.10.13', 'heartbeatAt': '2024-02-18T07:45:26.328654', 'startedAt': '2024-02-18T07:45:25.386195', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': '/workspace/Haea_dev/models/VariableEncoder/training/train.py', 'codePathLocal': 'Haea_dev/models/VariableEncoder/training/train.py', 'codePath': 'Haea_dev/models/VariableEncoder/training/train.py', 'host': 'b347dc2463a5', 'username': 'root', 'executable': '/workspace/Haea_dev/venv/bin/python3.10', 'cpu_count': 64, 'cpu_count_logical': 128, 'cpu_freq': {'current': 2283.2650625, 'min': 1500.0, 'max': 2250.0}, 'cpu_freq_per_core': [{'current': 3100.272, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.052, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.658, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.668, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.661, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.273, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.266, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.265, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.666, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.265, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.061, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.273, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.294, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.27, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.271, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.662, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.259, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.196, 'min': 1500.0, 'max': 2250.0}, {'current': 3098.459, 'min': 1500.0, 'max': 2250.0}, {'current': 3098.451, 'min': 1500.0, 'max': 2250.0}, {'current': 3098.455, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.667, 'min': 1500.0, 'max': 2250.0}, {'current': 3097.888, 'min': 1500.0, 'max': 2250.0}, {'current': 3098.45, 'min': 1500.0, 'max': 2250.0}, {'current': 3098.457, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.261, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.653, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.265, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.05, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.271, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.276, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.268, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.665, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.055, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.278, 'min': 1500.0, 'max': 2250.0}, {'current': 3098.454, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.659, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.684, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.272, 'min': 1500.0, 'max': 2250.0}, {'current': 3098.456, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.275, 'min': 1500.0, 'max': 2250.0}, {'current': 3098.453, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.271, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.265, 'min': 1500.0, 'max': 2250.0}, {'current': 3098.451, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.272, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.265, 'min': 1500.0, 'max': 2250.0}, {'current': 3098.454, 'min': 1500.0, 'max': 2250.0}, {'current': 3098.453, 'min': 1500.0, 'max': 2250.0}, {'current': 3098.444, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.664, 'min': 1500.0, 'max': 2250.0}, {'current': 3098.448, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.261, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.664, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.265, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.052, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.299, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.273, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.662, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.278, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.263, 'min': 1500.0, 'max': 2250.0}, {'current': 3098.468, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.678, 'min': 1500.0, 'max': 2250.0}, {'current': 3098.451, 'min': 1500.0, 'max': 2250.0}, {'current': 3098.448, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.672, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.656, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.663, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.662, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.269, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.26, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.271, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.655, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.28, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.051, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.275, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.261, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.263, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.272, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.657, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.255, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.276, 'min': 1500.0, 'max': 2250.0}, {'current': 3098.453, 'min': 1500.0, 'max': 2250.0}, {'current': 3098.448, 'min': 1500.0, 'max': 2250.0}, {'current': 3098.483, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.668, 'min': 1500.0, 'max': 2250.0}, {'current': 3097.844, 'min': 1500.0, 'max': 2250.0}, {'current': 3098.456, 'min': 1500.0, 'max': 2250.0}, {'current': 3098.454, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.271, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.664, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.267, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.055, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.292, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.27, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.268, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.668, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.061, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.257, 'min': 1500.0, 'max': 2250.0}, {'current': 3098.445, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.068, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.267, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.275, 'min': 1500.0, 'max': 2250.0}, {'current': 3098.461, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.276, 'min': 1500.0, 'max': 2250.0}, {'current': 3097.85, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.276, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.27, 'min': 1500.0, 'max': 2250.0}, {'current': 3098.45, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.279, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.258, 'min': 1500.0, 'max': 2250.0}, {'current': 3098.478, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.668, 'min': 1500.0, 'max': 2250.0}, {'current': 3098.451, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.271, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.268, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.274, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.274, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.262, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.055, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.258, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.053, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.27, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.65, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.265, 'min': 1500.0, 'max': 2250.0}, {'current': 3098.44, 'min': 1500.0, 'max': 2250.0}, {'current': 3099.053, 'min': 1500.0, 'max': 2250.0}, {'current': 3100.265, 'min': 1500.0, 'max': 2250.0}], 'disk': {'/': {'total': 98.0, 'used': 29.94345474243164}}, 'gpu': 'NVIDIA GeForce RTX 4090', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce RTX 4090', 'memory_total': 25757220864}], 'memory': {'total': 251.51330184936523}}
2024-02-18 07:45:26,339 INFO    HandlerThread:1283580 [system_monitor.py:probe():224] Finished collecting system info
2024-02-18 07:45:26,339 INFO    HandlerThread:1283580 [system_monitor.py:probe():227] Publishing system info
2024-02-18 07:45:26,341 INFO    HandlerThread:1283580 [system_monitor.py:probe():229] Finished publishing system info
2024-02-18 07:45:26,346 DEBUG   SenderThread:1283580 [sender.py:send():382] send: files
2024-02-18 07:45:26,346 INFO    SenderThread:1283580 [sender.py:_save_file():1403] saving file wandb-metadata.json with policy now
2024-02-18 07:45:26,353 DEBUG   HandlerThread:1283580 [handler.py:handle_request():146] handle_request: python_packages
2024-02-18 07:45:26,353 DEBUG   SenderThread:1283580 [sender.py:send_request():409] send_request: python_packages
2024-02-18 07:45:26,354 DEBUG   HandlerThread:1283580 [handler.py:handle_request():146] handle_request: stop_status
2024-02-18 07:45:26,354 DEBUG   SenderThread:1283580 [sender.py:send_request():409] send_request: stop_status
